zpid,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,priceForHDP,timeOnZillow,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,listing_sub_type.is_FSBA,homeStatusForHDP,datePriceChanged,priceReduction,priceChange,isRentalWithBasePrice,contingentListingType,listing_sub_type.is_accepting_backup_offers,providerListingID,newConstructionType,listing_sub_type.is_newHome,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,unit,listing_sub_type.is_bankOwned,listing_sub_type.is_forAuction,rentalMarketingSubType
16542480,4133 Tallow Pl,95618,Davis,CA,38.54576,-121.700485,1030000.0,1663743600000,2.0,4.0,2001.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1069900.0,4065,False,False,1030000.0,47270061000.0,True,False,False,USD,USA,1030000.0,9723.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
50449035,2403 Hepworth Dr,95618,Davis,CA,38.566917,-121.71947,1165000.0,1663657200000,3.0,5.0,2567.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1209800.0,4596,False,False,1165000.0,47356461000.0,True,False,False,USD,USA,1165000.0,7701.408,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
201608147,7 Outer Cir,95618,Davis,CA,38.550617,-121.72611,375000.0,1663225200000,2.0,3.0,1508.0,MANUFACTURED,RECENTLY_SOLD,-1,False,False,,2282,False,False,375000.0,47788461000.0,True,False,False,USD,USA,45900.0,,,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16540208,44132 S El Macero Dr,95618,El Macero,CA,38.540558,-121.69201,1450000.0,1663138800000,3.0,4.0,2688.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1509100.0,5709,False,False,1450000.0,47874861000.0,True,False,False,USD,USA,1450000.0,0.3224058769513315,acres,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16545619,4210 Arroyo Ave,95618,Davis,CA,38.555367,-121.7001,770000.0,1662102000000,2.0,3.0,1487.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,802400.0,3163,False,False,770000.0,48911661000.0,True,False,False,USD,USA,770000.0,6098.4,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
82974372,4219 Mahogany Ln,95618,Davis,CA,38.539883,-121.69747,1200000.0,1662102000000,3.0,4.0,2767.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1250500.0,4706,False,False,1200000.0,48911661000.0,True,False,False,USD,USA,1200000.0,8276.4,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16518663,1408 Banyan Pl,95618,Davis,CA,38.55886,-121.72345,800000.0,1661929200000,2.0,3.0,1100.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,821500.0,2895,False,False,800000.0,49084461000.0,True,False,False,USD,USA,800000.0,0.27180899908172634,acres,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16518621,1918 Loyola Dr,95618,Davis,CA,38.557335,-121.72667,580000.0,1661497200000,2.0,4.0,1600.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,637900.0,3350,False,False,580000.0,49516461000.0,True,False,False,USD,USA,580000.0,7349.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16519239,3004 Loyola Dr,95618,Davis,CA,38.556965,-121.71309,795000.0,1661238000000,2.0,3.0,1444.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,833300.0,3150,False,False,795000.0,49775661000.0,True,False,False,USD,USA,794744.0,7440.048,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
50947298,2705 Rockwell Dr,95618,Davis,CA,38.570305,-121.71697,1560000.0,1660892400000,4.0,5.0,3501.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1625900.0,6113,False,False,1560000.0,50121261000.0,True,False,False,USD,USA,1560000.0,10868.22,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
201608124,56 Broken Cir,95618,Davis,CA,38.55043,-121.724464,105000.0,1660892400000,1.0,2.0,672.0,MANUFACTURED,RECENTLY_SOLD,-1,False,False,118700.0,421,False,False,105000.0,50121261000.0,True,False,False,USD,USA,23560.0,,,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16545217,1406 Pastal Way,95618,Davis,CA,38.55829,-121.69904,850000.0,1660806000000,3.0,4.0,1833.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,878900.0,3350,False,False,850000.0,50207661000.0,True,False,False,USD,USA,850000.0,4792.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
